fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Style
Jodie Esquibel,61.0,115.0,64.0,4.1,0.31,7.37,0.52,0.75,0.21,0.83,0.0,2
Jordan Espinosa,66.0,125.0,69.0,4.22,0.52,2.94,0.57,0.75,0.28,0.7,0.2,2
Fred Ettish,72.0,180.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Terry Etim,73.0,155.0,73.0,2.16,0.35,2.53,0.67,0.43,0.3,0.39,1.4,1
Scott Ettling,70.0,135.0,72.0,0.0,0.0,0.54,0.83,8.04,1.0,0.0,0.0,1
Sijara Eubanks,64.0,135.0,67.0,4.52,0.43,3.69,0.57,1.88,0.46,0.65,0.4,2
Billy Evangelista,68.0,155.0,68.0,4.51,0.4,3.96,0.61,1.6,0.19,0.61,0.2,2
Rashad Evans,72.0,205.0,75.0,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0.0,1
Doug Evans,69.0,155.0,72.0,1.79,0.35,2.55,0.55,3.19,0.83,0.69,0.6,1
Ashlee Evans-Smith,68.0,135.0,67.0,4.54,0.34,4.69,0.55,1.1,0.23,0.66,0.0,2
Dan Evensen,75.0,250.0,72.0,0.27,0.1,3.86,0.38,0.0,0.0,0.0,4.0,1
Tonya Evinger,67.0,135.0,70.0,1.16,0.42,4.02,0.38,0.93,0.3,0.33,0.9,0
Andre Ewell,68.0,135.0,75.0,4.42,0.41,4.25,0.52,0.29,0.66,0.7,0.1,2
Movsar Evloev,67.0,145.0,72.0,4.7,0.44,2.83,0.64,2.75,0.37,0.7,0.0,1
Neal Ewing,70.0,185.0,72.0,2.27,0.6,1.93,0.48,5.0,0.62,0.0,0.0,1
Edward Faaloloto,70.0,155.0,70.0,2.28,0.32,6.25,0.44,1.01,0.25,0.33,0.0,0
Jessica Eye,66.0,125.0,66.0,3.76,0.37,4.01,0.55,0.45,0.4,0.57,0.5,2
Wagnney Fabiano,66.0,145.0,69.0,1.19,0.38,0.66,0.7,3.44,0.64,1.0,0.4,1
Melinda Fabian,66.0,125.0,66.0,4.03,0.41,4.0,0.62,0.0,0.0,1.0,0.0,2
Urijah Faber,66.0,135.0,67.0,2.65,0.4,2.59,0.64,1.54,0.3,0.58,0.8,0
Ron Faircloth,69.0,205.0,72.0,0.39,0.4,8.9,0.42,0.0,0.0,0.0,0.0,0
Jason Fairn,73.0,230.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bartosz Fabinski,72.0,170.0,75.0,2.2,0.69,1.35,0.53,7.08,0.69,0.8,0.0,1
Rinat Fakhretdinov,72.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Zarah Fairn,68.0,145.0,72.0,1.98,0.45,6.61,0.39,0.0,0.0,0.5,0.0,0
Maiquel Falcao,71.0,185.0,72.0,1.67,0.55,0.53,0.86,1.0,1.0,0.71,3.0,1
Brodie Farber,73.0,170.0,72.0,1.69,0.45,2.17,0.53,0.9,0.5,0.2,0.9,0
Joao Paulo Faria,69.0,155.0,72.0,6.69,0.64,2.09,0.85,1.25,0.5,0.0,1.2,1
Chance Farrar,69.0,145.0,72.0,0.81,0.22,2.21,0.67,3.02,1.0,0.0,0.0,1
Rico Farrington,76.0,170.0,79.0,6.33,0.41,7.2,0.51,0.0,0.0,0.2,0.0,2
Kalindra Faria,67.0,125.0,72.0,2.23,0.56,1.44,0.45,1.31,0.66,0.2,0.7,0
Kelly Faszholz,68.0,135.0,72.0,4.01,0.48,3.61,0.52,0.0,0.0,0.44,0.0,2
Rodney Faverus,72.0,215.0,72.0,2.3,0.53,1.6,0.54,4.5,1.0,0.25,0.0,1
Carlos Felipe,72.0,245.0,75.0,4.42,0.45,4.6,0.47,0.0,0.0,0.7,0.0,2
Paul Felder,71.0,155.0,70.0,3.7,0.44,3.44,0.48,0.29,0.28,0.64,0.2,2
Kevin Ferguson,74.0,235.0,77.0,2.3,0.5,3.41,0.38,3.1,0.72,0.36,1.2,1
JP Felty,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Josh Ferguson,65.0,125.0,72.0,2.13,0.43,4.18,0.32,0.59,0.11,0.54,0.0,0
Rhadi Ferguson,67.0,205.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tony Ferguson,71.0,155.0,76.0,5.46,0.45,3.94,0.59,0.45,0.42,0.7,1.1,1
CJ Fernandes,74.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Bibiano Fernandes,67.0,139.0,72.0,2.91,0.4,2.02,0.72,3.97,0.53,0.77,0.6,1
Alexandre Ferreira,67.0,205.0,72.0,2.57,0.6,8.14,0.42,0.0,0.0,0.0,0.0,0
Cezar Ferreira,73.0,185.0,78.0,1.9,0.42,2.44,0.53,2.69,0.53,0.84,0.5,1
Diego Ferreira,69.0,155.0,74.0,4.85,0.37,3.26,0.58,0.89,0.26,0.68,0.9,2
Timo Feucht,75.0,205.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Scott Ferrozzo,71.0,323.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Drew Fickett,70.0,155.0,70.0,2.33,0.41,2.29,0.57,1.3,0.35,0.3,2.2,1
Scott Fiedler,76.0,235.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ron Fields,74.0,200.0,72.0,0.33,0.33,2.64,0.11,0.0,0.0,0.0,0.0,0
Deiveson Figueiredo,65.0,125.0,68.0,3.38,0.56,3.35,0.5,1.57,0.5,0.61,2.4,1
Francisco Figueiredo,66.0,135.0,69.0,1.93,0.54,2.07,0.76,4.0,0.66,1.0,0.0,1
Edwin Figueroa,67.0,135.0,69.0,2.57,0.39,3.06,0.51,0.2,1.0,0.37,0.6,0
Anthony Figueroa,64.0,135.0,72.0,2.37,0.48,3.77,0.49,0.0,0.0,0.58,0.0,0
Paulo Filho,68.0,185.0,72.0,1.86,0.48,1.67,0.66,2.4,0.32,0.42,1.6,1
Andre Fili,71.0,145.0,74.0,3.73,0.36,3.9,0.52,2.5,0.49,0.64,0.2,1
Brady Fink,72.0,183.0,72.0,1.69,0.41,1.69,0.61,3.63,0.25,0.0,3.6,1
Jan Finney,68.0,135.0,72.0,2.16,0.28,8.75,0.42,0.77,0.11,0.25,0.0,0
Jesse Finney,72.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mirko Filipovic,74.0,230.0,73.0,2.11,0.5,1.89,0.63,0.19,0.4,0.78,0.3,0
Luigi Fioravanti,68.0,170.0,70.0,2.23,0.42,2.21,0.69,3.76,0.63,0.67,0.9,1
Manon Fiorot,67.0,125.0,72.0,5.8,0.53,1.86,0.79,1.64,1.0,1.0,0.0,2
Luiz Firmino,66.0,154.0,72.0,1.23,0.5,1.22,0.51,3.86,0.45,0.2,0.9,1
Spencer Fisher,67.0,155.0,68.0,3.17,0.43,3.03,0.64,0.67,0.3,0.6,0.8,0
Chris Fishgold,68.0,145.0,68.0,2.01,0.32,2.7,0.46,2.59,0.46,0.44,1.3,1
Bryanna Fissori,64.0,145.0,72.0,1.4,0.46,1.2,0.57,2.0,0.25,0.5,0.0,0
Isi Fitikefu,70.0,205.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jimmy Flick,67.0,125.0,68.0,1.99,0.58,2.3,0.5,1.81,0.5,0.0,7.2,1
Alejandro Flores,70.0,145.0,73.0,3.66,0.4,2.02,0.54,0.0,0.0,0.0,0.0,2
Colin Fletcher,74.0,155.0,72.0,3.1,0.34,2.97,0.62,0.0,0.0,0.27,0.0,0
Ty Flores,75.0,205.0,73.0,2.0,0.37,7.8,0.25,1.0,0.09,0.0,0.0,0
Rafael Fiziev,68.0,155.0,71.0,4.67,0.57,4.17,0.55,0.84,0.5,1.0,0.0,2
Luke Flores,72.0,155.0,73.0,1.56,0.44,1.88,0.6,0.0,0.0,0.4,1.2,1
Jon Fitch,72.0,170.0,74.0,2.61,0.5,1.65,0.54,3.6,0.51,0.56,0.8,1
Cody Floyd,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mal Foki,67.0,220.0,72.0,2.86,0.14,14.29,0.54,0.0,0.0,0.0,0.0,0
Bobby Flynn,70.0,170.0,72.0,0.38,0.25,0.77,0.0,0.0,0.0,0.0,0.0,0
Kenny Florian,70.0,145.0,74.0,2.41,0.4,1.85,0.63,2.22,0.33,0.6,1.3,1
Caros Fodor,69.0,155.0,74.0,2.76,0.54,2.83,0.54,2.1,0.25,0.5,0.0,1
Matt Foki,67.0,220.0,72.0,0.0,0.0,3.37,0.56,0.0,0.0,0.0,0.0,0
AJ Fonseca,64.0,145.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rob Font,68.0,135.0,71.0,5.21,0.42,3.83,0.62,1.2,0.36,0.48,0.8,2
Jesse Forbes,74.0,185.0,75.0,2.11,0.24,4.06,0.53,1.79,0.75,0.66,1.2,1
Claudionor Fontinelle,65.0,185.0,72.0,2.62,0.42,10.25,0.28,0.0,0.0,0.0,0.0,0
Sterling Ford,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Codale Ford,69.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marcel Fortuna,73.0,205.0,74.0,3.83,0.46,4.52,0.64,0.45,0.08,0.75,0.5,2
Jussier Formiga,65.0,125.0,67.0,1.42,0.39,2.34,0.64,1.82,0.35,0.87,0.6,0
Renee Forte,67.0,155.0,71.0,2.08,0.32,2.12,0.63,2.32,0.58,0.66,0.0,1
Brian Foster,69.0,170.0,71.0,3.3,0.39,1.63,0.65,3.67,0.6,0.37,1.8,1
Francisco France,72.0,205.0,72.0,0.54,0.33,3.51,0.27,0.0,0.0,0.0,6.1,1
John Franchi,66.0,145.0,67.0,1.83,0.48,2.59,0.48,2.68,0.8,0.4,0.3,1
Brandon Foxworth,71.0,145.0,72.0,1.33,0.32,4.59,0.5,0.0,0.0,0.0,0.0,0
Mason Fowler,71.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hermes Franca,66.0,155.0,71.0,1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4,1
Glaico Franca Moreira,72.0,155.0,77.0,2.35,0.42,3.46,0.47,2.68,0.42,0.76,0.3,1
Xavier Foupa-Pokam,73.0,185.0,72.0,1.47,0.43,2.5,0.49,0.0,0.0,0.16,0.0,0
Rich Franklin,73.0,185.0,76.0,4.1,0.44,2.07,0.62,1.31,0.66,0.63,0.7,2
Zane Frazier,77.0,250.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Zoila Frausto,64.0,135.0,72.0,0.77,0.31,1.64,0.53,0.0,0.0,0.57,0.0,0
Justin Frazier,72.0,265.0,75.0,1.11,0.66,6.11,0.04,0.0,0.0,0.0,0.0,0
Gary Frazier,72.0,245.0,72.0,1.5,0.39,2.77,0.46,0.0,0.0,1.0,0.0,0
Stephanie Frausto,62.0,115.0,61.0,1.43,0.21,3.57,0.6,0.0,0.0,0.0,0.0,0
Ian Freeman,71.0,225.0,72.0,2.54,0.48,3.11,0.44,1.44,0.4,0.8,0.7,0
Jason Freeman,74.0,225.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Willamy Freire,68.0,155.0,72.0,1.53,0.37,0.93,0.62,0.5,1.0,0.73,0.0,0
Patricio Freire,65.0,145.0,65.0,2.84,0.41,4.43,0.6,0.6,0.18,0.94,0.6,0
Patricky Freire,67.0,155.0,71.0,3.06,0.44,3.34,0.69,1.26,0.33,1.0,0.0,0
Jeremy  Freitag,73.0,205.0,72.0,0.0,0.0,8.37,0.19,0.0,0.0,0.33,1.9,1
Rafael Freitas,70.0,205.0,72.0,2.0,0.29,8.0,0.51,11.25,0.5,0.0,0.0,1
Clay French,67.0,161.0,72.0,1.52,0.5,1.27,0.16,0.0,0.0,1.0,0.0,0
Donavon Frelow,67.0,135.0,72.0,2.4,0.27,3.2,0.52,1.0,1.0,0.26,0.0,0
Mike French,70.0,145.0,72.0,0.23,0.23,2.17,0.42,0.0,0.0,0.22,1.0,0
Matt Frevola,69.0,155.0,71.0,2.73,0.37,3.44,0.58,2.59,0.37,0.4,1.1,1
Jinh Yu Frey,63.0,115.0,65.0,1.79,0.4,3.35,0.44,1.06,0.42,0.83,0.7,0
Artem Frolov,70.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sarah Frota,66.0,125.0,69.0,4.52,0.52,2.57,0.55,0.0,0.0,0.53,0.0,2
Don Frye,73.0,219.0,72.0,2.87,0.64,3.57,0.37,0.91,0.57,0.45,0.7,0
Katsuhisa Fujii,72.0,205.0,72.0,4.0,0.5,4.43,0.64,2.14,0.25,0.5,2.1,1
Tony Fryklund,72.0,185.0,72.0,3.49,0.39,6.5,0.43,0.0,0.0,0.66,0.5,0
Jesse Fujarczyk,76.0,225.0,72.0,1.03,0.33,4.91,0.38,0.0,0.0,0.25,0.0,0
Keisuke Fujiwara,66.0,139.0,72.0,0.73,0.44,1.2,0.47,0.0,0.0,0.23,2.5,1
Megumi Fujii,63.0,113.0,72.0,2.4,0.42,0.0,1.0,0.0,0.0,0.0,12.0,1
Kazuyuki Fujita,72.0,235.0,72.0,1.05,0.49,1.99,0.52,2.78,0.36,0.85,0.6,1
Riki Fukuda,72.0,185.0,73.0,4.24,0.43,3.71,0.64,2.17,0.43,0.7,0.0,1
Masio Fullen,70.0,145.0,70.0,2.46,0.32,3.5,0.54,0.47,0.33,0.69,0.0,0
Sam Fulton,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Masakatsu Funaki,72.0,185.0,72.0,1.82,0.68,2.92,0.35,0.0,0.0,0.0,5.5,1
Travis Fulton,72.0,240.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ricardo Funch,70.0,170.0,74.0,2.61,0.65,3.57,0.4,1.24,0.18,0.6,0.0,0
Katsuaki Furuki,72.0,168.0,72.0,0.27,0.1,2.67,0.39,0.0,0.0,0.0,3.0,1
Gustavo Gabriel,66.0,125.0,72.0,4.06,0.65,4.26,0.46,0.0,0.0,0.5,0.0,2
James Gabert,70.0,178.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Justin Gaethje,71.0,155.0,70.0,7.46,0.59,7.99,0.55,0.0,0.0,0.69,0.0,2
Alavutdin Gadjiev,74.0,185.0,72.0,0.99,0.27,0.99,0.57,0.0,0.0,0.5,0.0,0
Claudia Gadelha,64.0,115.0,63.0,3.31,0.41,4.57,0.57,3.03,0.42,0.58,0.7,1
Sheila Gaff,65.0,135.0,72.0,1.6,0.5,2.89,0.28,0.0,0.0,0.2,0.0,0
Muin Gafurov,67.0,135.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mitch Gagnon,65.0,135.0,65.0,2.76,0.46,2.21,0.61,1.16,0.25,0.65,1.9,1
Brandon Gaines,75.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Travis Galbraith,72.0,170.0,72.0,2.21,0.4,3.45,0.48,1.33,0.25,0.0,1.3,1
Mickey Gall,74.0,170.0,74.0,2.55,0.46,3.65,0.42,1.15,0.26,0.4,2.1,1
Dave Galera,71.0,135.0,72.0,1.67,0.69,0.53,0.33,0.0,0.0,0.14,2.0,1
Daniel Gallemore,77.0,265.0,72.0,3.1,0.41,6.0,0.52,0.0,0.0,0.0,0.0,0
Tom Gallicchio,70.0,170.0,72.0,3.53,0.26,7.07,0.43,1.0,0.11,0.0,0.0,2
Turrell Galloway,63.0,145.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Zelg Galesic,74.0,185.0,72.0,4.86,0.62,0.61,0.66,1.3,1.0,0.2,1.3,1
Eric Galvan,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Lucas Gamaza,70.0,170.0,72.0,7.57,0.31,6.99,0.45,0.0,0.0,0.0,0.0,2
Marcos Galvao,67.0,135.0,72.0,1.97,0.32,3.86,0.61,2.27,0.28,0.88,1.1,1
Andre Galvao,67.0,168.0,72.0,2.34,0.52,1.56,0.58,2.02,0.27,0.0,2.8,1
Joey Gambino,67.0,145.0,72.0,2.47,0.35,2.53,0.51,0.0,0.0,0.42,0.8,0
Mateusz Gamrot,70.0,155.0,70.0,3.47,0.41,2.47,0.56,5.0,0.31,1.0,0.0,1
Shamil Gamzatov,74.0,205.0,76.0,4.27,0.46,2.13,0.58,0.0,0.0,0.5,0.0,2
Manvel Gamburyan,65.0,135.0,67.0,2.13,0.41,2.83,0.55,3.26,0.34,0.69,0.7,1
Ariel Gandulla,71.0,205.0,72.0,1.95,0.23,2.07,0.72,1.88,0.66,0.0,0.0,0
Eduardo Garagorri,69.0,145.0,70.0,3.42,0.51,2.36,0.58,0.48,1.0,0.61,0.0,0
Sean Gannon,75.0,265.0,72.0,0.0,0.0,6.38,0.28,0.0,0.0,0.5,0.0,0
Ciryl Gane,76.0,245.0,81.0,5.04,0.55,1.85,0.69,1.13,0.26,1.0,0.5,2
Cody Garbrandt,68.0,135.0,65.0,3.35,0.37,3.33,0.65,0.84,0.33,1.0,0.0,0
Leonard Garcia,70.0,145.0,68.0,2.77,0.24,4.79,0.52,0.3,0.26,0.42,0.5,0
Alejandro Garcia,67.0,145.0,72.0,1.22,0.62,1.14,0.65,8.55,0.87,0.66,0.0,1
Edgar Garcia,70.0,170.0,71.0,3.16,0.29,4.23,0.6,2.21,0.57,0.5,0.6,1
Nick Garcia,64.0,125.0,72.0,0.67,0.25,3.03,0.5,0.0,0.0,0.83,5.1,1
Alex Garcia,69.0,170.0,72.0,1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1,1
Steve Garcia,72.0,155.0,75.0,4.31,0.55,2.52,0.36,0.61,0.25,1.0,0.6,2
Elias Garcia,65.0,125.0,67.0,1.59,0.27,5.05,0.5,0.68,0.14,0.33,1.4,1
Rafa Garcia,67.0,155.0,70.0,3.47,0.23,6.6,0.54,0.0,0.0,1.0,0.0,0
Rulon Gardner,75.0,265.0,72.0,2.05,0.25,1.45,0.6,0.75,1.0,1.0,0.0,0
David Gardner,71.0,155.0,72.0,0.17,1.0,0.34,0.0,0.0,0.0,0.66,0.0,0
Pablo Garza,73.0,145.0,73.0,3.37,0.44,2.7,0.5,0.94,0.25,0.15,1.3,1
Brian Gassaway,73.0,170.0,72.0,0.34,0.26,3.65,0.44,0.0,0.0,0.42,0.0,0
Azamat Gashimov,66.0,125.0,72.0,1.24,0.21,4.75,0.53,1.69,0.25,0.0,0.0,0
Willie Gates,68.0,125.0,72.0,1.8,0.38,4.28,0.38,0.0,0.0,0.67,0.4,0
Kelvin Gastelum,69.0,185.0,71.0,3.64,0.43,2.92,0.59,1.22,0.39,0.64,0.1,2
Louis Gaudinot,63.0,125.0,63.0,2.34,0.37,6.42,0.48,0.57,0.4,0.31,1.1,1
Melissa Gatto,65.0,135.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Charlene Gellner,62.0,125.0,72.0,2.01,0.42,3.24,0.43,0.0,0.0,0.0,1.7,1
Chad George,66.0,135.0,68.0,1.26,0.5,1.11,0.65,3.08,0.46,0.0,1.3,1
Paul Georgieff,74.0,170.0,72.0,2.55,0.4,2.34,0.35,0.0,0.0,0.0,0.0,0
Brian Geraghty,67.0,155.0,72.0,0.47,0.25,9.77,0.36,0.0,0.0,0.5,0.0,0
Derek Getzel,72.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Karine Gevorgyan,64.0,125.0,63.0,1.2,0.2,1.8,0.76,0.0,0.0,0.0,0.0,0
Christos Giagos,70.0,155.0,71.0,2.88,0.41,2.59,0.51,3.11,0.39,0.5,0.3,1
Darrel Gholar,68.0,194.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Joe Giannetti,72.0,155.0,74.0,1.93,0.38,2.8,0.4,1.0,0.16,0.0,0.0,0
Tiki Ghosn,70.0,170.0,72.0,2.78,0.46,2.94,0.58,0.41,0.5,0.61,0.0,0
Nick Gibbons,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
James Giboo,71.0,170.0,72.0,1.2,0.27,7.08,0.39,0.0,0.0,0.0,0.0,0
Lance Gibson,69.0,185.0,72.0,1.21,0.75,6.44,0.2,0.0,0.0,0.0,0.0,0
Lee Gibson,67.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Chase Gibson,70.0,155.0,72.0,3.13,0.54,6.4,0.52,0.0,0.0,0.0,0.0,0
Cody Gibson,70.0,135.0,71.0,2.47,0.31,2.54,0.63,1.85,0.38,0.58,0.4,0
Kenny Giddens,71.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Thomas Gifford,73.0,155.0,75.0,3.97,0.37,6.45,0.37,0.5,0.33,0.33,0.0,2
Kultar Gill,72.0,154.0,72.0,1.14,0.5,0.4,0.41,1.71,0.66,0.38,0.0,0
Trevin Giles,72.0,185.0,74.0,3.26,0.56,1.88,0.62,1.37,0.8,0.79,0.3,0
Joey Gilbert,71.0,155.0,72.0,0.61,0.42,4.44,0.31,0.0,0.0,0.0,0.0,0
Gregor Gillespie,67.0,155.0,71.0,3.58,0.49,2.14,0.6,7.02,0.47,0.0,0.9,1
Jesse Gillespie,70.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jason Gilliam,72.0,170.0,72.0,0.79,0.33,3.14,0.42,0.0,0.0,0.0,0.0,0
Krishaun Gilmore,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Alex Gilpin,67.0,145.0,72.0,6.8,0.54,12.29,0.42,2.17,0.25,0.0,2.2,1
Bob Gilstrap,75.0,200.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Demetrius Gioulacos,71.0,185.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Billy Giovanella,68.0,125.0,72.0,1.27,0.4,2.02,0.52,0.87,0.12,1.0,1.7,1
He-Man Gipson,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Israel Giron,68.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jason Glaza,72.0,230.0,72.0,4.34,0.54,0.43,0.4,4.34,1.0,0.0,4.3,1
Joseph Gigliotti,71.0,185.0,72.0,1.04,0.39,2.92,0.45,1.56,1.0,0.5,0.8,0
Brandon Girtz,67.0,155.0,72.0,2.5,0.6,1.92,0.47,5.76,1.0,1.0,0.0,1
Mike Glenn,70.0,205.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Rick Glenn,72.0,145.0,70.0,4.31,0.42,4.29,0.53,0.67,0.13,0.66,0.3,2
Clint Godfrey,66.0,135.0,72.0,0.57,0.31,0.96,0.65,0.85,0.25,0.5,0.0,0
Mark Godbeer,76.0,240.0,77.0,3.97,0.53,3.3,0.54,0.0,0.0,0.28,0.0,2
Jason Godsey,74.0,230.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jonny Goh,71.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hannah Goldy,64.0,125.0,61.0,6.53,0.46,3.9,0.55,0.0,0.0,0.66,0.0,2
Allan Goes,72.0,205.0,72.0,0.64,0.52,1.35,0.41,1.75,0.4,0.0,2.6,1
Marcelo Golm,75.0,249.0,75.0,4.27,0.58,4.3,0.45,0.45,0.5,0.87,0.5,2
Alan Gomez,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sergio Gomez,66.0,155.0,72.0,1.5,0.42,1.16,0.56,2.57,0.66,0.31,0.0,1
Frank Gomez,70.0,135.0,67.0,1.52,0.48,0.79,0.66,1.14,0.6,0.7,0.8,0
David Gomez,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Ulysses Gomez,66.0,125.0,72.0,2.72,0.25,3.57,0.68,0.0,0.0,0.0,0.0,0
Edson Gomez,68.0,170.0,69.0,2.66,0.32,8.78,0.45,0.0,0.0,0.0,0.0,0
Joey Gomez,70.0,155.0,71.0,3.73,0.49,3.33,0.5,2.0,0.28,0.0,0.0,2
Luis Gomez,67.0,145.0,68.0,1.57,0.33,4.03,0.55,4.48,0.5,0.33,0.0,1
Silvana Gomez Juarez,63.0,125.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Akihiro Gono,67.0,170.0,68.0,2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5,0
Takanori Gomi,67.0,155.0,70.0,3.81,0.41,3.52,0.6,1.23,0.65,0.63,0.8,2
Gabriel Gonzaga,74.0,242.0,76.0,2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1,1
Nick Gonzalez,66.0,155.0,72.0,0.59,0.2,2.35,0.33,0.0,0.0,0.5,0.0,0
Justin Gonzales,69.0,145.0,72.0,6.67,0.8,0.87,0.43,14.0,0.73,1.0,0.0,1
Fabian Gonzalez,70.0,135.0,72.0,3.9,0.48,4.39,0.51,0.0,0.0,0.66,0.0,2
Fernando Gonzalez,69.0,170.0,68.0,4.47,0.47,4.03,0.65,0.86,0.33,0.43,1.4,1
Lewis Gonzalez,70.0,170.0,72.0,1.4,0.37,1.87,0.41,2.0,0.33,0.62,0.0,0
Jorge Gonzalez,74.0,205.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Jason Gonzalez,74.0,155.0,74.0,3.06,0.39,3.13,0.58,0.0,0.0,0.3,1.0,0
Kier Gooch,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Pearl Gonzalez,64.0,115.0,72.0,2.23,0.37,4.07,0.57,1.04,0.11,0.0,0.5,0
Mikey Gonzalez,71.0,155.0,74.0,0.91,0.16,14.55,0.11,0.0,0.0,0.0,0.0,0
Jared Gooden,72.0,170.0,77.0,6.67,0.47,11.2,0.49,1.0,1.0,1.0,0.0,2
Lyman Good,72.0,170.0,74.0,5.34,0.48,4.01,0.63,0.27,1.0,0.75,0.0,2
Jordan Goodwin,70.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Gary Goodridge,75.0,249.0,72.0,1.84,0.56,2.14,0.48,0.4,1.0,0.53,0.8,0
Tebaris Gordon,73.0,265.0,72.0,3.53,0.16,49.41,0.22,0.0,0.0,0.0,0.0,2
Gerard Gordeau,77.0,216.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Eddie Gordon,72.0,185.0,76.0,2.03,0.32,2.57,0.6,1.93,0.83,0.63,0.0,0
Alex Gorgees,74.0,155.0,74.0,0.67,0.32,2.27,0.38,0.0,0.0,0.54,0.0,0
Malcolm Gordon,67.0,125.0,71.0,0.55,0.13,3.87,0.54,0.0,0.0,0.0,0.0,0
Jared Gordon,69.0,145.0,68.0,5.54,0.56,3.22,0.6,2.81,0.39,0.55,0.0,1
Tim Gorman,65.0,135.0,72.0,2.73,0.31,5.57,0.46,1.0,0.09,0.33,0.0,0
